"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","wie_hist","Seasonal Cycle Score","MeanState","global","score","1","0.769216","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","wie_hist","Bias","MeanState","global","scalar","g m-2 d-1","0.465331","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","wie_hist","Bias Score","MeanState","global","score","1","0.451754","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","wie_hist","RMSE","MeanState","global","scalar","g m-2 d-1","1.08953","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","wie_hist","RMSE Score","MeanState","global","score","1","0.439541","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","wie_hist","Overall Score","MeanState","global","score","1","0.607866","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","95.6684","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","115.451","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","115.172","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","0.278753","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Spatial Distribution Score","MeanState","global","score","1","0.94033","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Phase Shift","MeanState","global","scalar","months","1.19219","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Seasonal Cycle Score","MeanState","global","score","1","0.768909","16.0"
