"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","397.658","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","1.5913","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Period Mean (original grids)","MeanState","global","scalar","Pg","555.172","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Model Period Mean (intersection)","MeanState","global","scalar","Pg","542.584","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.0237094","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Spatial Distribution Score","MeanState","global","score","1","0.774518","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Bias","MeanState","global","scalar","kg m-2","0.965854","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Bias Score","MeanState","global","score","1","0.612505","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0249","Overall Score","MeanState","global","score","1","0.693512","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","385.083","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","14.0646","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Period Mean (original grids)","MeanState","global","scalar","Pg","765.012","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Model Period Mean (intersection)","MeanState","global","scalar","Pg","765.012","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Spatial Distribution Score","MeanState","global","score","1","0.773327","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Bias","MeanState","global","scalar","kg m-2","2.84784","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Bias Score","MeanState","global","score","1","0.542524","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","TEM","Overall Score","MeanState","global","score","1","0.657926","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","392.026","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","7.12147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Period Mean (original grids)","MeanState","global","scalar","Pg","454.507","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Model Period Mean (intersection)","MeanState","global","scalar","Pg","454.507","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Spatial Distribution Score","MeanState","global","score","1","0.909964","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Bias","MeanState","global","scalar","kg m-2","0.485409","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM-fixspitfire","Bias Score","MeanState","global","score","1","0.664847","100.0"
