"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.973832","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.909138","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.47473","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Spatial Distribution Score","MeanState","global","score","1","0.934154","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Phase Shift","MeanState","global","scalar","months","1.4069","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Seasonal Cycle Score","MeanState","global","score","1","0.841545","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Bias","MeanState","global","scalar","mm d-1","0.185037","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Bias Score","MeanState","global","score","1","0.652075","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","RMSE","MeanState","global","scalar","mm d-1","0.837023","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","RMSE Score","MeanState","global","score","1","0.387493","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv14","Overall Score","MeanState","global","score","1","0.640552","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.724101","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.967168","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.902692","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.46638","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Spatial Distribution Score","MeanState","global","score","1","0.931597","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Phase Shift","MeanState","global","scalar","months","1.29808","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Seasonal Cycle Score","MeanState","global","score","1","0.853622","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Bias","MeanState","global","scalar","mm d-1","0.178591","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Bias Score","MeanState","global","score","1","0.647767","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","RMSE","MeanState","global","scalar","mm d-1","0.815537","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","RMSE Score","MeanState","global","score","1","0.396841","125.0"
"HydrologyCycle","Runoff","CLASS","CRUTS410_accum","Overall Score","MeanState","global","score","1","0.645334","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.724101","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.81655","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.758534","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.26574","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Spatial Distribution Score","MeanState","global","score","1","0.960099","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Phase Shift","MeanState","global","scalar","months","1.3385","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Seasonal Cycle Score","MeanState","global","score","1","0.855403","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Bias","MeanState","global","scalar","mm d-1","0.0344337","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Bias Score","MeanState","global","score","1","0.675792","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","RMSE","MeanState","global","scalar","mm d-1","0.652882","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","RMSE Score","MeanState","global","score","1","0.452297","125.0"
"HydrologyCycle","Runoff","CLASS","CRUJRAv15_accum","Overall Score","MeanState","global","score","1","0.679178","125.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.816857","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.815953","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.955539","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.911146","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.6018","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Spatial Distribution Score","MeanState","global","score","1","0.937218","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Phase Shift","MeanState","global","scalar","months","1.04946","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Seasonal Cycle Score","MeanState","global","score","1","0.893783","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Bias","MeanState","global","scalar","mm d-1","0.0942892","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Bias Score","MeanState","global","score","1","0.651792","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","RMSE","MeanState","global","scalar","mm d-1","0.8142","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","RMSE Score","MeanState","global","score","1","0.476271","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv13","Overall Score","MeanState","global","score","1","0.687067","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.816857","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.815953","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.961634","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.917101","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.60993","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Spatial Distribution Score","MeanState","global","score","1","0.939558","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Phase Shift","MeanState","global","scalar","months","1.10278","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Seasonal Cycle Score","MeanState","global","score","1","0.8841","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Bias","MeanState","global","scalar","mm d-1","0.100244","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Bias Score","MeanState","global","score","1","0.656633","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","RMSE","MeanState","global","scalar","mm d-1","0.818637","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","RMSE Score","MeanState","global","score","1","0.470753","75.0"
"HydrologyCycle","Runoff","LORA","TRENDYv14","Overall Score","MeanState","global","score","1","0.684359","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.816857","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.815953","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.955194","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.91074","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.60233","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Spatial Distribution Score","MeanState","global","score","1","0.937319","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Phase Shift","MeanState","global","scalar","months","1.04571","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Seasonal Cycle Score","MeanState","global","score","1","0.894257","75.0"
"HydrologyCycle","Runoff","LORA","CRUTS410_accum","Bias","MeanState","global","scalar","mm d-1","0.0938828","75.0"
