"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","100.195","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Period Mean (original grids)","MeanState","global","scalar","Pg","1444.89","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Model Period Mean (intersection)","MeanState","global","scalar","Pg","1443.23","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Model Period Mean (complement)","MeanState","global","scalar","Pg","1.66628","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Spatial Distribution Score","MeanState","global","score","1","0.738076","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Bias","MeanState","global","scalar","kg m-2","1.57668","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Bias Score","MeanState","global","score","1","0.600396","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_stand_weighting","Overall Score","MeanState","global","score","1","0.669236","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","1233.83","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","100.195","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Period Mean (original grids)","MeanState","global","scalar","Pg","1444.22","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Model Period Mean (intersection)","MeanState","global","scalar","Pg","1442.56","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Model Period Mean (complement)","MeanState","global","scalar","Pg","1.66632","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Spatial Distribution Score","MeanState","global","score","1","0.738177","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Bias","MeanState","global","scalar","kg m-2","1.57166","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Bias Score","MeanState","global","score","1","0.600264","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_surffwd","Overall Score","MeanState","global","score","1","0.669221","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","1233.83","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","100.195","75.0"
