"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Spatial Distribution Score","MeanState","global","score","1","0.948999","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Phase Shift","MeanState","global","scalar","months","1.10414","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Seasonal Cycle Score","MeanState","global","score","1","0.842916","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Bias","MeanState","global","scalar","g m-2 d-1","0.182814","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Bias Score","MeanState","global","score","1","0.569446","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","RMSE","MeanState","global","scalar","g m-2 d-1","1.27362","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","RMSE Score","MeanState","global","score","1","0.50336","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Overall Score","MeanState","global","score","1","0.673616","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Evapotranspiration|GLEAMv3.3a Hellinger Distance","Relationships","global","scalar","1","0.600796","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Evapotranspiration|GLEAMv3.3a Score","Relationships","global","score","1","0.906155","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","upperbnf","Overall Score","Relationships","global","score","1","0.906155","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","113.71","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","113.434","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","113.158","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","0.275332","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Spatial Distribution Score","MeanState","global","score","1","0.928033","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Phase Shift","MeanState","global","scalar","months","1.1219","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Seasonal Cycle Score","MeanState","global","score","1","0.840999","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Bias","MeanState","global","scalar","g m-2 d-1","-0.0126901","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","Bias Score","MeanState","global","score","1","0.526898","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","baseline20260821","RMSE","MeanState","global","scalar","g m-2 d-1","1.33007","75.0"
